Year,Transect,Shoreline_Distance
2024,11,990.0594764045466
2025,11,1000.0000000000724
2026,11,961.3580722926228
2016,12,999.9999999999478
2017,12,1024.6394302112747
2018,12,1006.9094692938896
2019,12,1006.909469294177
2020,12,987.9707050842893
2023,12,1002.2607118963339
2024,12,979.2715891996095
2025,12,1006.9094692938896
2026,12,993.0905307773024
2017,13,999.9999999999883
2019,13,999.9999999999883
2016,14,972.361980868501
2017,14,1000.0000000000506
2018,14,979.2714873370089
2019,14,974.0144530571932
2020,14,972.361980868501
2023,14,979.2714873370089
2024,14,974.0144530571932
2025,14,979.2714873370089
2026,14,986.1809919644993
2016,15,979.2715181610965
2017,15,1000.0000000000597
2018,15,979.2715181610965
2019,15,986.1810130661486
2020,15,968.3864698626305
2023,15,986.1810130661486
2024,15,979.2715181610965
2025,15,979.2715181610965
2026,15,965.4525267867274
2016,16,979.3361741933104
2017,16,999.9999999999653
2018,16,979.3361741933104
2019,16,979.2715489854319
2020,16,965.4525787109199
2023,16,986.1810341670665
2024,16,972.3620652726486
2025,16,965.9581414214313
2026,16,958.5430933179871
2016,17,965.4526339584503
2017,17,1000.0000000000264
2018,17,977.7760679408119
2019,17,965.4526339594798
2020,17,958.5431590693628
2023,17,977.7760679408119
2024,17,965.4526339584921
2025,17,986.1810560839449
2026,17,934.9061208534837
2016,18,986.1810729898226
2017,18,1000.0000000000762
2018,18,1000.0000000000762
2019,18,985.7099795092417
2020,18,944.7242735884698
2023,18,979.2716092505316
2024,18,965.4526774971308
2025,18,986.1810729898226
2026,18,958.5432097838127
2016,19,986.1810760755571
2017,19,1000.0000000000398
2018,19,1000.0000000000398
2019,19,979.2716138794391
2020,19,946.4883574286763
2023,19,979.2716138793974
2024,19,965.4526852127552
2025,19,986.1810760755571
2026,19,958.543219042532
2017,20,1006.9095145017473
2018,20,1000.0000000000556
2019,20,1000.0000000000556
2026,20,1000.0000000000556
2016,21,1000.0000000000059
2017,21,1013.8190169130859
2018,21,1000.0000000000059
2019,21,1013.8190169144445
2020,21,993.0904916094113
2023,21,1000.0000000000059
2024,21,1000.0000000000059
2025,21,1000.0000000000059
2026,21,1000.0000000000059
2016,22,999.9999999999396
2017,22,1020.7284742063919
2018,22,999.9999999999396
2019,22,1000.0000000009272
2020,22,993.0905085869887
2023,22,999.9999999999396
2024,22,999.9999999999396
2025,22,999.9999999999396
2026,22,993.0905085874435
2016,23,999.9999999999787
2017,23,1026.755949205171
2018,23,999.9999999999787
2019,23,993.0905224929191
2020,23,979.2715629031954
2023,23,999.9999999999787
2024,23,985.7100144589825
2025,23,999.9999999999787
2026,23,965.4526002525695
2016,24,980.6791032189393
2017,24,999.9999999998913
2018,24,999.9999999998913
2019,24,980.1189486332421
2020,24,950.2973721923696
2023,24,971.0186546128926
2024,24,942.0373079289648
2025,24,980.6791032189393
2026,24,960.2378975912922
